dangerous_perm_count,total_permissions,exported_activities,services,receivers,urls_count,network_calls,label
5,32,4,4,1,42,8,1
10,26,4,4,4,41,6,1
12,38,2,2,1,39,2,1
3,14,2,2,0,5,2,0
9,35,3,1,4,48,6,1
11,27,2,4,1,29,6,1
1,9,2,2,1,9,2,0
2,17,1,1,2,3,2,0
7,18,5,4,1,26,2,1
6,17,6,2,2,18,3,1
5,19,5,4,4,21,5,1
1,12,0,1,0,0,1,0
1,9,0,1,0,8,0,0
2,8,1,0,0,0,0,0
10,27,4,3,2,10,4,1
2,17,1,2,0,10,0,0
11,30,6,3,2,41,3,1
8,36,5,4,3,38,7,1
3,10,1,2,0,3,2,0
3,10,2,1,0,0,2,0
5,21,5,2,3,20,6,1
9,29,6,3,4,29,8,1
3,18,2,2,2,4,2,0
2,17,1,2,1,0,0,0
12,23,2,3,2,10,3,1
10,32,6,4,2,11,6,1
3,14,1,2,1,3,1,0
9,33,2,2,3,48,3,1
0,10,2,0,0,5,2,0
3,10,0,0,1,8,2,0
5,30,4,3,4,45,8,1
5,23,5,1,2,31,7,1
14,33,5,3,3,38,4,1
6,17,5,2,2,12,4,1
0,15,1,0,1,7,1,0
12,23,3,3,3,28,6,1
1,10,0,2,1,6,1,0
12,37,3,3,1,31,7,1
11,37,6,2,3,45,6,1
15,26,6,3,1,16,8,1
0,7,2,2,2,9,1,0
2,13,2,1,0,8,1,0
2,7,2,2,2,8,1,0
0,5,1,1,2,9,1,0
1,13,2,2,0,6,2,0
1,16,0,0,2,0,1,0
7,17,6,2,4,17,6,1
0,15,0,2,0,3,1,0
1,9,1,1,2,3,1,0
0,14,1,1,2,0,0,0
2,7,2,1,0,0,2,0
1,10,1,1,0,8,0,0
2,12,2,2,2,0,0,0
1,16,1,0,1,8,2,0
9,24,5,2,1,29,7,1
8,31,6,3,3,15,7,1
9,32,6,3,4,41,7,1
0,11,1,1,0,7,0,0
1,16,2,1,1,5,1,0
3,16,1,2,0,2,0,0
10,33,4,2,1,30,6,1
8,37,4,1,4,13,2,1
3,18,1,2,0,2,2,0
6,21,3,3,3,33,3,1
12,34,3,2,2,48,6,1
1,8,2,1,0,1,1,0
2,9,0,2,1,10,1,0
9,23,6,1,4,12,2,1
0,7,0,1,0,1,0,0
2,11,0,0,2,2,2,0
13,29,2,1,3,20,4,1
2,7,0,0,1,8,0,0
2,11,2,0,0,0,2,0
7,25,3,2,3,14,7,1
3,10,1,2,2,3,1,0
3,14,2,1,0,8,1,0
14,27,3,1,4,49,8,1
2,13,1,0,2,5,0,0
0,5,1,2,0,10,2,0
2,8,0,0,0,0,2,0
1,8,0,0,1,7,2,0
11,22,4,1,1,34,3,1
3,10,2,1,2,0,0,0
10,35,4,2,2,35,5,1
2,14,0,0,1,8,2,0
10,39,6,1,1,31,5,1
0,6,0,1,1,9,1,0
13,25,5,4,3,36,8,1
8,32,3,3,1,29,6,1
3,18,1,2,0,0,0,0
5,27,6,3,3,11,7,1
1,11,2,1,0,6,2,0
6,28,2,1,2,22,5,1
3,12,0,1,2,2,2,0
3,8,0,1,1,1,2,0
3,14,0,1,2,9,2,0
0,6,0,1,1,10,2,0
3,15,2,0,0,5,2,0
12,24,3,3,1,20,6,1
3,9,1,0,0,7,2,0
11,25,5,4,2,23,5,1
11,40,3,4,4,33,6,1
12,31,2,1,1,42,6,1
15,40,3,3,4,20,5,1
10,35,3,1,3,43,7,1
9,22,3,4,4,45,4,1
1,6,2,1,0,1,1,0
13,29,6,4,4,35,2,1
13,35,3,4,2,33,7,1
2,13,1,2,0,9,0,0
1,6,1,1,1,2,2,0
1,14,1,1,2,2,2,0
0,10,1,0,0,7,0,0
5,24,5,2,2,34,4,1
1,14,0,2,1,5,0,0
3,12,1,0,2,4,1,0
2,7,0,0,2,5,1,0
14,41,5,4,1,26,4,1
2,16,1,0,2,1,2,0
14,42,5,2,3,21,7,1
3,16,0,1,0,0,1,0
6,26,4,3,3,30,7,1
2,14,2,0,2,6,0,0
1,16,1,0,0,0,0,0
7,34,2,1,4,29,8,1
2,13,1,2,0,8,0,0
11,22,5,2,1,43,8,1
14,44,2,2,1,42,5,1
