apk,sha256,size_bytes,label,looks_like_banking,dangerous_perm_count,exported_components,hardcoded_bankish_urls,debuggable,backup_enabled,cert_valid,cert_self_signed,dyn_net_domains,dyn_suspicious_calls
realbank_synth3.apk,519bc1,6313756,0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
realbank_synth10.apk,fe6532,5352198,0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
realbank_synth15.apk,af4976,7391087,0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
fakebank_synth22.apk,8f0fef,3255470,1,1.0,14.0,12.0,4.0,1.0,1.0,0.0,0.0,5.0,6.0
realbank_synth42.apk,2d4b04,6313748,0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
realbank_synth19.apk,4637a2,5870571,0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
fakebank_synth23.apk,d9d720,4207756,1,1.0,15.0,8.0,6.0,1.0,0.0,1.0,1.0,5.0,3.0
fakebank_synth35.apk,cbe9a5,4103325,1,1.0,11.0,9.0,7.0,1.0,0.0,1.0,1.0,3.0,5.0
realbank_synth16.apk,29832f,4987536,0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
realbank_synth26.apk,1a6fc4,7983296,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fakebank_synth27.apk,c04460,2730895,1,1.0,12.0,12.0,8.0,1.0,1.0,0.0,1.0,2.0,5.0
fakebank_synth16.apk,fb4dea,3199001,1,1.0,8.0,12.0,9.0,1.0,1.0,0.0,1.0,2.0,6.0
realbank_synth39.apk,46e3fa,5307797,0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
fakebank_synth43.apk,191d3a,2751120,1,1.0,13.0,8.0,8.0,1.0,1.0,0.0,0.0,5.0,4.0
fakebank_synth11.apk,7942e5,3395344,1,1.0,11.0,12.0,7.0,1.0,0.0,0.0,1.0,6.0,3.0
realbank_synth18.apk,dc932b,4619028,0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
fakebank_synth15.apk,212ff7,4152207,1,1.0,14.0,11.0,5.0,1.0,0.0,1.0,0.0,3.0,5.0
realbank_synth41.apk,6d43a8,7630211,0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
realbank_synth37.apk,ee7d7d,5222078,0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
fakebank_synth4.apk,872a8f,4336669,1,1.0,14.0,11.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0
realbank_synth8.apk,9064c4,5942222,0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
realbank_synth4.apk,6c9eea,5526699,0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
realbank_synth35.apk,10abfd,6088367,0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
realbank_synth12.apk,32b9b6,6659312,0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
fakebank_synth29.apk,600af4,2690424,1,1.0,14.0,11.0,9.0,1.0,1.0,0.0,1.0,3.0,6.0
realbank_synth47.apk,5563d9,5054249,0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
fakebank_synth12.apk,6b7881,3947877,1,1.0,14.0,8.0,4.0,1.0,1.0,1.0,0.0,3.0,6.0
realbank_synth25.apk,50e039,7097643,0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
fakebank_synth8.apk,b2961b,2755875,1,1.0,12.0,9.0,5.0,1.0,0.0,1.0,0.0,3.0,6.0
realbank_synth13.apk,ad5def,6687613,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
fakebank_synth30.apk,618cc2,4395063,1,1.0,10.0,10.0,8.0,1.0,1.0,0.0,1.0,4.0,3.0
fakebank_synth37.apk,b7f6d2,4079030,1,1.0,13.0,7.0,8.0,1.0,0.0,1.0,1.0,5.0,2.0
realbank_synth20.apk,16719b,6810928,0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
fakebank_synth42.apk,b069b3,3291277,1,1.0,14.0,11.0,8.0,1.0,0.0,0.0,1.0,3.0,2.0
realbank_synth17.apk,a6361d,4362766,0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
realbank_synth1.apk,091212,7408488,0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
fakebank_synth32.apk,77daea,3847597,1,1.0,8.0,8.0,6.0,1.0,1.0,0.0,0.0,2.0,5.0
fakebank_synth26.apk,140066,4291182,1,1.0,14.0,12.0,9.0,1.0,0.0,1.0,1.0,2.0,2.0
fakebank_synth3.apk,1ea660,2752685,1,1.0,10.0,6.0,10.0,1.0,1.0,1.0,0.0,4.0,5.0
fakebank_synth21.apk,b68dc4,3300150,1,1.0,12.0,11.0,6.0,1.0,0.0,1.0,0.0,4.0,4.0
realbank_synth6.apk,42cdd6,5343644,0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
realbank_synth38.apk,c7ae6a,7631556,0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
realbank_synth49.apk,f79bc1,6988277,0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
realbank_synth27.apk,685921,4855748,0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
realbank_synth0.apk,76ce15,7754501,0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
realbank_synth45.apk,431963,7653886,0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
fakebank_synth14.apk,a9e408,4298831,1,1.0,13.0,10.0,5.0,1.0,1.0,1.0,0.0,6.0,6.0
fakebank_synth40.apk,74d93d,2745416,1,1.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,6.0,3.0
realbank_synth14.apk,70a606,4431104,0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
fakebank_synth41.apk,46bb87,3853626,1,1.0,15.0,12.0,3.0,1.0,1.0,0.0,0.0,5.0,2.0
realbank_synth5.apk,0ffd17,7531981,0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
fakebank_synth24.apk,27c960,3452982,1,1.0,14.0,9.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0
fakebank_synth45.apk,a5a0fc,4439954,1,1.0,9.0,8.0,9.0,1.0,0.0,1.0,0.0,2.0,4.0
realbank_synth7.apk,99daee,4092899,0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
fakebank_synth31.apk,654814,3326652,1,1.0,10.0,9.0,6.0,1.0,0.0,1.0,1.0,5.0,2.0
realbank_synth31.apk,d1a9f4,4123620,0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
fakebank_synth18.apk,6be1ef,4065730,1,1.0,9.0,11.0,9.0,1.0,1.0,1.0,1.0,2.0,6.0
realbank_synth34.apk,028f08,5232912,0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fakebank_synth25.apk,65b4fe,3870790,1,1.0,10.0,11.0,8.0,1.0,1.0,0.0,0.0,6.0,6.0
realbank_synth24.apk,d7ad74,4076268,0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
fakebank_synth13.apk,9a4e48,4093412,1,1.0,15.0,8.0,9.0,1.0,1.0,0.0,0.0,2.0,2.0
fakebank_synth33.apk,150332,4180022,1,1.0,11.0,6.0,4.0,1.0,0.0,1.0,1.0,4.0,6.0
fakebank_synth10.apk,b6c5d9,4277223,1,1.0,14.0,6.0,4.0,1.0,0.0,0.0,0.0,3.0,6.0
fakebank_synth39.apk,485726,3994496,1,1.0,12.0,11.0,6.0,1.0,1.0,0.0,1.0,3.0,4.0
realbank_synth28.apk,dae889,7862410,0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fakebank_synth34.apk,2f40c9,4039941,1,1.0,10.0,7.0,3.0,1.0,1.0,1.0,0.0,5.0,4.0
realbank_synth36.apk,19c7ca,4908835,0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
realbank_synth21.apk,bad03e,4315479,0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
realbank_synth46.apk,52c121,4376119,0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fakebank_synth17.apk,e81bfb,3926203,1,1.0,15.0,8.0,8.0,1.0,0.0,1.0,1.0,5.0,6.0
fakebank_synth47.apk,1c13dc,2565043,1,1.0,10.0,11.0,5.0,1.0,1.0,0.0,0.0,6.0,2.0
fakebank_synth5.apk,af627f,3436766,1,1.0,9.0,7.0,10.0,1.0,1.0,0.0,1.0,3.0,3.0
fakebank_synth49.apk,1df6dd,3586812,1,1.0,14.0,11.0,8.0,1.0,1.0,0.0,0.0,3.0,2.0
fakebank_synth7.apk,a80a99,3260413,1,1.0,7.0,11.0,3.0,1.0,1.0,0.0,0.0,4.0,6.0
realbank_synth9.apk,d932b3,7689305,0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
fakebank_synth38.apk,96bdbd,4431585,1,1.0,8.0,6.0,6.0,1.0,1.0,0.0,1.0,4.0,4.0
fakebank_synth2.apk,5a3e0f,2962095,1,1.0,12.0,10.0,5.0,1.0,0.0,0.0,1.0,6.0,5.0
fakebank_synth28.apk,c54763,4117828,1,1.0,7.0,8.0,4.0,1.0,1.0,1.0,0.0,6.0,6.0
fakebank_synth44.apk,17c61d,3255503,1,1.0,15.0,10.0,7.0,1.0,1.0,0.0,1.0,2.0,2.0
realbank_synth2.apk,059251,4745812,0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
fakebank_synth9.apk,7488c9,2807742,1,1.0,14.0,7.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0
realbank_synth33.apk,e657dc,5466163,0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
realbank_synth11.apk,58ffdb,5245789,0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
fakebank_synth20.apk,cfbf2f,4049982,1,1.0,11.0,12.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0
realbank_synth29.apk,57d504,5685998,0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
realbank_synth32.apk,0c624c,5757962,0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
fakebank_synth19.apk,3efcf0,4145530,1,1.0,15.0,11.0,9.0,1.0,0.0,0.0,1.0,5.0,2.0
realbank_synth22.apk,ccc05e,6892820,0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
realbank_synth30.apk,f72ac4,7637242,0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
realbank_synth43.apk,a0d039,7325815,0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
realbank_synth23.apk,861ba7,6581727,0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
